Crop,State,I_E,Model,Value
gro,ID,export,gvty,0.128080445
gro,ID,export,shrs,0.083147151
gro,IL,import,gvty,0.029350097
gro,IL,import,shrs,0.05336534
gro,IL,export,gvty,1.352979076
gro,IL,export,shrs,1.735947835
gro,IN,import,gvty,0.019178412
gro,IN,import,shrs,0.031560001
gro,IN,export,gvty,0.595727652
gro,IN,export,shrs,0.804515023
gro,IA,import,gvty,0.022889759
gro,IA,import,shrs,0.037990722
gro,IA,export,gvty,1.751565254
gro,IA,export,shrs,1.879956784
gro,KS,import,gvty,0.014120462
gro,KS,import,shrs,0.026171532
gro,KS,export,gvty,0.668896777
gro,KS,export,shrs,0.598290105
gro,KY,import,gvty,0.015694136
gro,KY,import,shrs,0.024614852
gro,KY,export,gvty,0.144641581
gro,KY,export,shrs,0.18629695
gro,LA,import,gvty,0.015361301
gro,LA,import,shrs,0.012031482
gro,LA,import,port,0.032581357
gro,LA,export,gvty,0.209257878
gro,LA,export,shrs,0.08410522
gro,LA,export,port,5.396331637
gro,ME,import,gvty,0.004203317
gro,ME,import,shrs,0.002721387
gro,ME,export,gvty,0.000868007
gro,ME,export,shrs,0.001031319
gro,MD,import,gvty,0.026573188
gro,MD,import,shrs,0.011205854
gro,MD,import,port,0.043441809
gro,MD,export,gvty,0.026308693
gro,MD,export,shrs,0.058275316
gro,MA,import,gvty,0.017582855
gro,MA,import,shrs,0.012163826
gro,MA,export,gvty,1.30463E-07
gro,MA,export,shrs,1.70125E-07
gro,MI,import,gvty,0.028972341
gro,MI,import,shrs,0.023194084
gro,MI,import,port,0.054302261
gro,MI,export,gvty,0.197001104
gro,MI,export,shrs,0.243532829
gro,MI,export,port,0.234623115
gro,MN,import,gvty,0.034690029
gro,MN,import,shrs,0.026698064
gro,MN,import,port,0.152046331
gro,MN,export,gvty,1.0829406
gro,MN,export,shrs,1.067422376
gro,MS,import,gvty,0.005875655
gro,MS,import,shrs,0.007255578
gro,MS,export,gvty,0.179167655
gro,MS,export,shrs,0.099505312
gro,MO,import,gvty,0.018729198
gro,MO,import,shrs,0.027130085
gro,MO,import,port,0.032581357
gro,MO,export,gvty,0.435819643
gro,MO,export,shrs,0.426346168
gro,MT,import,gvty,0.004662284
gro,MT,import,shrs,0.003125496
gro,MT,import,port,0.021720904
gro,MT,export,gvty,0.074160312
gro,MT,export,shrs,0.048454543
gro,NE,import,gvty,0.017006649
gro,NE,import,shrs,0.029676699
gro,NE,export,gvty,1.262089715
gro,NE,export,shrs,1.19273713
gro,NV,import,gvty,0.002572583
gro,NV,import,shrs,0.003074781
gro,NV,export,gvty,4.71877E-07
gro,NV,export,shrs,4.30729E-07
gro,NH,import,gvty,0.003711207
gro,NH,import,shrs,0.002138325
